列表_车名,列表_价格(万),列表_里程(万公里),列表_上牌时间,车辆ID,经销商ID,城市,页码,详情URL,车辆名称,价格(万),表显里程,上牌时间,挡位排量,车辆所在地,档案_上牌时间,档案_表显里程,变速箱,排放标准,排量,发布时间,年检到期,保险到期,质保到期,过户次数,档案_所在地,发动机,车辆级别,车身颜色,燃油标号,驱动方式,留言信息,留言_车辆名称,留言_驱动方式,留言_颜色,留言_出厂时间,留言_交强日期,留言_行驶里程,留言_车辆排量,留言_车辆状态,留言_钥匙,留言_车况,留言_车辆配置
欧拉好猫 2023款 401km标准续航 尊贵型 磷酸铁锂,7.45,1,2024/03,54374195,559088,鹤壁,2,https://www.che168.com/dealer/559088/54374195.html,欧拉好猫 2023款 401km标准续航 尊贵型 磷酸铁锂,¥7.45,1万公里,2024年03月,自动 / 0L,濮阳,2024年03月,1万公里,,,,2025-04-11,2028-03,2026-03,-,0次（以车辆登记证为准）,,,小型车,红/紫色,,前置前驱,,,,,,,,,,,,
长安Lumin 2022款 155km 清甜款,2.76,0.37,2024/04,54057559,559088,鹤壁,2,https://www.che168.com/dealer/559088/54057559.html,长安Lumin 2022款 155km 清甜款,¥2.76,0.37万公里,2024年04月,自动 / 0L,安阳,2024年04月,0.37万公里,,,,2025-04-01,2026-04,2025-04,-,0次（以车辆登记证为准）,,,微型车,绿色,,前置前驱,,,,,,,,,,,,
科莱威CLEVER 2022款 311km元气啵啵版,3.21,1.53,2023/09,55040836,559088,鹤壁,2,https://www.che168.com/dealer/559088/55040836.html,科莱威CLEVER 2022款 311km元气啵啵版,¥3.21,1.53万公里,2023年09月,自动 / 0L,新乡,2023年09月,1.53万公里,,,,2025-06-10,2025-09,2025-09,-,1次（以车辆登记证为准）,,,微型车,白色,,前置前驱,,,,,,,,,,,,
欧拉白猫 2020款 401km 旗舰型,4.22,7.6,2021/03,52944239,559088,鹤壁,2,https://www.che168.com/dealer/559088/52944239.html,欧拉白猫 2020款 401km 旗舰型,¥4.22,7.6万公里,2021年03月,自动 / 0L,濮阳,2021年03月,7.6万公里,,,,2025-04-10,2025-03,2025-03,-,1次（以车辆登记证为准）,,,微型车,白色,,前置前驱,,,,,,,,,,,,
海鸥 2025款 405km 飞翔版,7.5,0.23,2024/11,53685619,559088,鹤壁,2,https://www.che168.com/dealer/559088/53685619.html,海鸥 2025款 405km 飞翔版,¥7.50,0.23万公里,2024年11月,自动 / 0L,新乡,2024年11月,0.23万公里,,,,2025-04-10,2026-11,2025-11,-,0次（以车辆登记证为准）,,,小型车,白色,,前置前驱,,,,,,,,,,,,
科莱威CLEVER 2022款 311km元气啵啵版,2.55,3.37,2022/09,54563206,559088,鹤壁,2,https://www.che168.com/dealer/559088/54563206.html,科莱威CLEVER 2022款 311km元气啵啵版,¥2.55,3.37万公里,2022年09月,自动 / 0L,濮阳,2022年09月,3.37万公里,,,,2025-04-26,2026-09,2025-09,-,1次（以车辆登记证为准）,,,微型车,白色,,前置前驱,,,,,,,,,,,,
昊铂GT 2024款 全球款 710特高压激光雷达版,15.03,0.01,2024/11,54633911,559088,鹤壁,2,https://www.che168.com/dealer/559088/54633911.html,昊铂GT 2024款 全球款 710特高压激光雷达版,¥15.03,0.01万公里,2024年11月,自动 / 0L,新乡,2024年11月,0.01万公里,,,,2025-06-11,2026-11,2025-11,-,0次（以车辆登记证为准）,,,中大型车,白色,,后置后驱,,,,,,,,,,,,
小虎EV 2021款 FOR-Four乖乖虎 三元锂,1.83,2.69,2021/12,54845370,559088,鹤壁,2,https://www.che168.com/dealer/559088/54845370.html,小虎EV 2021款 FOR-Four乖乖虎 三元锂,¥1.83,2.69万公里,2021年12月,自动 / 0L,新乡,2021年12月,2.69万公里,,,,2025-05-23,2025-12,2025-12,-,0次（以车辆登记证为准）,,,微型车,红/紫色,,后置后驱,,,,,,,,,,,,
宏光MINIEV 2025款 四门版 进阶款,3.44,0.01,2025/04,54970767,559088,鹤壁,2,https://www.che168.com/dealer/559088/54970767.html,宏光MINIEV 2025款 四门版 进阶款,¥3.44,0.01万公里,2025年04月,自动 / 0L,濮阳,2025年04月,0.01万公里,,,,2025-06-04,2027-04,2026-04,-,0次（以车辆登记证为准）,,,微型车,白色,,后置后驱,,,,,,,,,,,,
荣威RX5 2020款 20T 自动4G互联超越旗舰版,5.13,6.07,2020/03,53582079,559088,鹤壁,2,https://www.che168.com/dealer/559088/53582079.html,荣威RX5 2020款 20T 自动4G互联超越旗舰版,¥5.13,6.07万公里,2020年03月,自动 / 1.5L,鹤壁,2020年03月,6.07万公里,,国VI,,2025-02-11,2026-03,2025-03,-,0次（以车辆登记证为准）,,,紧凑型SUV,黑色,92号,前置前驱,,,,,,,,,,,,
海鸥 2025款 305km 活力版,5.44,0.01,2025/04,54593817,559088,鹤壁,2,https://www.che168.com/dealer/559088/54593817.html,海鸥 2025款 305km 活力版,¥5.44,0.01万公里,2025年04月,自动 / 0L,濮阳,2025年04月,0.01万公里,,,,2025-04-29,2027-04,2025-04,-,0次（以车辆登记证为准）,,,小型车,白色,,前置前驱,,,,,,,,,,,,
秦PLUS 2021款 EV 600KM 旗舰型,12.05,1.22,2022/12,54239144,559088,鹤壁,2,https://www.che168.com/dealer/559088/54239144.html,秦PLUS 2021款 EV 600KM 旗舰型,¥12.05,1.22万公里,2022年12月,自动 / 0L,安阳,2022年12月,1.22万公里,,,,2025-03-31,2026-12,2025-12,-,1次（以车辆登记证为准）,,,紧凑型车,白色,,前置前驱,,,,,,,,,,,,
元Pro 2021款 401KM 豪华型,5.81,5.54,2022/05,54739804,559088,鹤壁,2,https://www.che168.com/dealer/559088/54739804.html,元Pro 2021款 401KM 豪华型,¥5.81,5.54万公里,2022年05月,自动 / 0L,安阳,2022年05月,5.54万公里,,,,2025-05-13,2026-05,2025-05,-,0次（以车辆登记证为准）,,,小型SUV,白色,,前置前驱,,,,,,,,,,,,
欧拉好猫 2021款 400km标准续航 维纳斯版 磷酸铁锂,6.25,2.88,2021/11,53721999,559088,鹤壁,2,https://www.che168.com/dealer/559088/53721999.html,欧拉好猫 2021款 400km标准续航 维纳斯版 磷酸铁锂,¥6.25,2.88万公里,2021年11月,自动 / 0L,新乡,2021年11月,2.88万公里,,,,2025-03-11,2025-11,2025-11,-,0次（以车辆登记证为准）,,,小型车,红/紫色,,前置前驱,,,,,,,,,,,,
奇瑞iCAR 03 2024款 472km 四驱长续航版,11.15,0.01,2025/02,54019085,559088,鹤壁,2,https://www.che168.com/dealer/559088/54019085.html,iCAR 03 2024款 472km 四驱长续航版,¥11.15,0.01万公里,2025年02月,自动 / 0L,新乡,2025年02月,0.01万公里,,,,2025-04-10,2027-02,2026-02,-,0次（以车辆登记证为准）,,,紧凑型SUV,银/灰色,,双电机四驱,,,,,,,,,,,,
长安Lumin 2024款 301km 启航版,4.59,0.01,2024/12,54007442,559088,鹤壁,2,https://www.che168.com/dealer/559088/54007442.html,长安Lumin 2024款 301km 启航版,¥4.59,0.01万公里,2024年12月,自动 / 0L,新乡,2024年12月,0.01万公里,,,,2025-06-01,2026-12,2025-12,-,0次（以车辆登记证为准）,,,微型车,白色,,前置前驱,,,,,,,,,,,,
海豚 2023款 401km 骑士版,7.55,1.28,2024/04,55058543,559088,鹤壁,2,https://www.che168.com/dealer/559088/55058543.html,海豚 2023款 401km 骑士版,¥7.55,1.28万公里,2024年04月,自动 / 0L,新乡,2024年04月,1.28万公里,,,,2025-06-11,2028-04,2026-04,-,1次（以车辆登记证为准）,,,小型车,红/紫色,,前置前驱,,,,,,,,,,,,
宏光MINIEV 2020款 自在款 磷酸铁锂,1.82,2.58,2021/09,53746985,559088,鹤壁,2,https://www.che168.com/dealer/559088/53746985.html,宏光MINIEV 2020款 自在款 磷酸铁锂,¥1.82,2.58万公里,2021年09月,自动 / 0L,新乡,2021年09月,2.58万公里,,,,2025-04-15,2025-09,2025-09,-,1次（以车辆登记证为准）,,,微型车,白色,,后置后驱,,,,,,,,,,,,
未知,未知,未知,未知,未知,未知,鹤壁,2,https://www.che168.com/dealer/未知/未知.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蔚来EC6 2023款 75kWh,21.2,1.29,2023/11,55028019,523839,鹤壁,3,https://www.che168.com/dealer/523839/55028019.html,蔚来EC6 2023款 75kWh,¥21.20,1.29万公里,2023年11月,自动 / 0L,武汉,2023年11月,1.29万公里,,,,2025-06-09,2025-11,2025-11,-,1次（以车辆登记证为准）,,,中型SUV,银/灰色,,双电机四驱,详情咨询客服，获取完整车源表！每天上新30台，预约专属顾问，享成交好礼！,,,,,,,,,,,
雷克萨斯UX新能源 2020款 300e 纯・悦版,10.83,2.82,2022/02,55012926,559088,鹤壁,3,https://www.che168.com/dealer/559088/55012926.html,雷克萨斯UX新能源 2020款 300e 纯・悦版,¥10.83,2.82万公里,2022年02月,自动 / 0L,濮阳,2022年02月,2.82万公里,,,,2025-06-08,2028-02,2026-02,-,0次（以车辆登记证为准）,,,紧凑型SUV,银/灰色,,前置前驱,,,,,,,,,,,,
风光580 2018款 改款 1.8L 手动舒适型,3.02,8.42,2020/01,54763983,559088,鹤壁,3,https://www.che168.com/dealer/559088/54763983.html,风光580 2018款 改款 1.8L 手动舒适型,¥3.02,8.42万公里,2020年01月,手动 / 1.8L,鹤壁,2020年01月,8.42万公里,,国VI,,2025-05-15,2028-01,2026-01,-,0次（以车辆登记证为准）,,,中型SUV,黑色,92号,前置前驱,,,,,,,,,,,,
奔驰S级 2019款 S 450 L 4MATIC,55.9,7.5,2019/10,55013482,186578,鹤壁,3,https://www.che168.com/dealer/186578/55013482.html,奔驰S级 2019款 S 450 L 4MATIC,¥55.90,7.5万公里,2019年10月,自动 / 3L,郑州,2019年10月,7.5万公里,,欧V,,2025-06-08,2025-10,2025-10,-,0次（以车辆登记证为准）,,,大型车,黑色,95号,前置四驱,原车漆 公里数小 鑫融名车，十一年老店！放心买，简单卖！本店在售精品二手车，车况精品透明，均已过第三方检测机构如查博士，268V等S级标准，支持低利息分期付款，我们向你郑重承诺：一、车况精品，无重大事故，无火烧泡水。二、底盘构：无明显磨损。三、发动机舱：运转良好。四、外观：车身无结构性损伤。五、内饰：干净整洁。六、漆面：保养良好。我们始终不忘初心，严把收车质量标准，让你买的放心，省心，开心！         欢迎您来电咨询，前来试乘试驾！【公司地址】郑州市天河路英才街交叉口迈卡名车茂E馆1楼,,,,,,,,,,,
宝马iX3 2021款 领先型,12.13,9.5,2021/03,54960708,559088,鹤壁,3,https://www.che168.com/dealer/559088/54960708.html,宝马iX3 2021款 领先型,¥12.13,9.5万公里,2021年03月,自动 / 0L,濮阳,2021年03月,9.5万公里,,,,2025-06-03,2027-03,2026-03,-,1次（以车辆登记证为准）,,,中型SUV,银/灰色,,后置后驱,,,,,,,,,,,,
元新能源 2019款 EV360 智联领享型,3.84,4.94,2019/07,55086228,559088,鹤壁,3,https://www.che168.com/dealer/559088/55086228.html,元新能源 2019款 EV360 智联领享型,¥3.84,4.94万公里,2019年07月,自动 / 0L,濮阳,2019年07月,4.94万公里,,,,2025-06-13,2025-07,2025-07,-,1次（以车辆登记证为准）,,,小型SUV,白色,,前置前驱,,,,,,,,,,,,
ID.4 CROZZ 2021款 长续航PURE+两驱版,10.25,5.23,2022/03,54843332,559088,鹤壁,3,https://www.che168.com/dealer/559088/54843332.html,ID.4 CROZZ 2021款 长续航PURE+两驱版,¥10.25,5.23万公里,2022年03月,自动 / 0L,濮阳,2022年03月,5.23万公里,,,,2025-05-22,2028-03,2026-03,-,1次（以车辆登记证为准）,,,紧凑型SUV,白色,,后置后驱,,,,,,,,,,,,
科莱威CLEVER 2021款 302km卓越版,3.14,0.69,2022/03,54926146,559088,鹤壁,3,https://www.che168.com/dealer/559088/54926146.html,科莱威CLEVER 2021款 302km卓越版,¥3.14,0.69万公里,2022年03月,自动 / 0L,新乡,2022年03月,0.69万公里,,,,2025-05-30,2028-03,2026-03,-,0次（以车辆登记证为准）,,,微型车,白色,,前置前驱,,,,,,,,,,,,
海鸥 2023款 自由版,4.93,0.94,2024/01,55087253,559088,鹤壁,3,https://www.che168.com/dealer/559088/55087253.html,海鸥 2023款 自由版,¥4.95,0.94万公里,2024年01月,自动 / 0L,安阳,2024年01月,0.94万公里,,,,2025-06-13,2028-01,2026-01,-,0次（以车辆登记证为准）,,,小型车,白色,,前置前驱,,,,,,,,,,,,
欧拉黑猫 2021款 351km 豪华型,5.13,3.14,2021/04,55084780,559088,鹤壁,3,https://www.che168.com/dealer/559088/55084780.html,欧拉黑猫 2021款 351km 豪华型,¥5.13,3.14万公里,2021年04月,自动 / 0L,新乡,2021年04月,3.14万公里,,,,2025-06-13,2027-04,2026-04,-,1次（以车辆登记证为准）,,,微型车,白色,,前置前驱,,,,,,,,,,,,
Model Y 2021款 标准续航后驱版,14.08,5.86,2021/09,54935377,559088,鹤壁,3,https://www.che168.com/dealer/559088/54935377.html,Model Y 2021款 标准续航后驱版,¥14.08,5.86万公里,2021年09月,自动 / 0L,濮阳,2021年09月,5.86万公里,,,,2025-05-31,2025-09,2025-09,-,0次（以车辆登记证为准）,,,中型SUV,黑色,,后置后驱,,,,,,,,,,,,
雷克萨斯UX新能源 2020款 300e 纯・悦版,9.93,5.5,2022/02,55012911,559088,鹤壁,3,https://www.che168.com/dealer/559088/55012911.html,雷克萨斯UX新能源 2020款 300e 纯・悦版,¥9.93,5.5万公里,2022年02月,自动 / 0L,濮阳,2022年02月,5.5万公里,,,,2025-06-08,2028-02,2026-02,-,0次（以车辆登记证为准）,,,紧凑型SUV,银/灰色,,前置前驱,,,,,,,,,,,,
宏光MINIEV 2024款 第三代 215km 青春版,3.15,0.17,2025/04,55081838,559088,鹤壁,3,https://www.che168.com/dealer/559088/55081838.html,宏光MINIEV 2024款 第三代 215km 青春版,¥3.15,0.17万公里,2025年04月,自动 / 0L,新乡,2025年04月,0.17万公里,,,,2025-06-13,2027-04,2026-04,-,0次（以车辆登记证为准）,,,微型车,白色,,后置后驱,,,,,,,,,,,,
奇瑞iCAR 03 2024款 472km 四驱长续航版,9.41,2.3,2024/06,54219137,559088,鹤壁,3,https://www.che168.com/dealer/559088/54219137.html,iCAR 03 2024款 472km 四驱长续航版,¥9.41,2.3万公里,2024年06月,自动 / 0L,安阳,2024年06月,2.3万公里,,,,2025-04-17,2026-06,2025-06,-,0次（以车辆登记证为准）,,,紧凑型SUV,黑色,,双电机四驱,,,,,,,,,,,,
宏光MINIEV 2022款 马卡龙臻享款 磷酸铁锂,2.22,2.67,2022/04,55064504,559088,鹤壁,3,https://www.che168.com/dealer/559088/55064504.html,宏光MINIEV 2022款 马卡龙臻享款 磷酸铁锂,¥2.22,2.67万公里,2022年04月,自动 / 0L,新乡,2022年04月,2.67万公里,,,,2025-06-12,2026-04,2026-04,-,0次（以车辆登记证为准）,,,微型车,银/灰色,,后置后驱,,,,,,,,,,,,
一汽丰田bZ4X 2022款 四驱高性能PRO版,9.58,9.06,2023/01,54833818,559088,鹤壁,3,https://www.che168.com/dealer/559088/54833818.html,一汽丰田bZ4X 2022款 四驱高性能PRO版,¥9.58,9.06万公里,2023年01月,自动 / 0L,安阳,2023年01月,9.06万公里,,,,2025-05-22,2025-05,2025-05,-,0次（以车辆登记证为准）,,,中型SUV,黑色,,双电机四驱,,,,,,,,,,,,
雷克萨斯UX新能源 2020款 300e 纯・享版,10.93,2.51,2022/03,55012907,559088,鹤壁,3,https://www.che168.com/dealer/559088/55012907.html,雷克萨斯UX新能源 2020款 300e 纯・享版,¥10.93,2.51万公里,2022年03月,自动 / 0L,濮阳,2022年03月,2.51万公里,,,,2025-06-08,2028-03,2026-03,-,0次（以车辆登记证为准）,,,紧凑型SUV,银/灰色,,前置前驱,,,,,,,,,,,,
Model 3 2021款 标准续航后驱升级版,13.5,5.25,2021/02,53518771,559088,鹤壁,3,https://www.che168.com/dealer/559088/53518771.html,Model 3 2021款 标准续航后驱升级版,¥13.50,5.25万公里,2021年02月,自动 / 0L,濮阳,2021年02月,5.25万公里,,,,2025-04-04,2025-02,2026-02,-,0次（以车辆登记证为准）,,,中型车,银/灰色,,后置后驱,,,,,,,,,,,,
大众ID.3 2024款 纯净智享版,9.1,0.8,2024/06,54882776,559088,鹤壁,3,https://www.che168.com/dealer/559088/54882776.html,大众ID.3 2024款 纯净智享版,¥9.10,0.8万公里,2024年06月,自动 / 0L,濮阳,2024年06月,0.8万公里,,,,2025-05-26,2026-06,2025-06,-,1次（以车辆登记证为准）,,,紧凑型车,白色,,后置后驱,,,,,,,,,,,,
长安Lumin 2022款 210km 香甜款,2.78,1.24,2023/05,53169039,559088,鹤壁,3,https://www.che168.com/dealer/559088/53169039.html,长安Lumin 2022款 210km 香甜款,¥2.78,1.24万公里,2023年05月,自动 / 0L,新乡,2023年05月,1.24万公里,,,,2025-04-16,2025-05,2025-05,-,0次（以车辆登记证为准）,,,微型车,白色,,前置前驱,,,,,,,,,,,,
Model Y 2022款 改款 后轮驱动版,17.02,4.3,2023/07,55015473,559088,鹤壁,3,https://www.che168.com/dealer/559088/55015473.html,Model Y 2022款 改款 后轮驱动版,¥17.02,4.3万公里,2023年07月,自动 / 0L,濮阳,2023年07月,4.3万公里,,,,2025-06-08,2025-07,2025-07,-,2次（以车辆登记证为准）,,,中型SUV,黑色,,后置后驱,,,,,,,,,,,,
宏光MINIEV 2022款 轻松款 磷酸铁锂,1.63,1.73,2023/08,54611981,559088,鹤壁,3,https://www.che168.com/dealer/559088/54611981.html,宏光MINIEV 2022款 轻松款 磷酸铁锂,¥1.63,1.73万公里,2023年08月,自动 / 0L,新乡,2023年08月,1.73万公里,,,,2025-05-07,2025-08,2025-08,-,0次（以车辆登记证为准）,,,微型车,白色,,后置后驱,,,,,,,,,,,,
银河E8 2024款 665km 后驱星舰 远航版,12.03,2.03,2024/09,54766047,559088,鹤壁,3,https://www.che168.com/dealer/559088/54766047.html,银河E8 2024款 665km 后驱星舰 远航版,¥12.03,2.03万公里,2024年09月,自动 / 0L,濮阳,2024年09月,2.03万公里,,,,2025-05-16,2026-09,2025-09,-,0次（以车辆登记证为准）,,,中大型车,白色,,后置后驱,,,,,,,,,,,,
AION Y 2022款 Plus 70 乐享版,8.75,2.85,2023/04,54017197,559088,鹤壁,3,https://www.che168.com/dealer/559088/54017197.html,AION Y 2022款 Plus 70 乐享版,¥8.75,2.85万公里,2023年04月,自动 / 0L,濮阳,2023年04月,2.85万公里,,,,2025-05-09,2027-04,2026-04,-,0次（以车辆登记证为准）,,,紧凑型SUV,绿色,,前置前驱,,,,,,,,,,,,
海豹 2022款 650km 四驱性能版,14.53,3.66,2023/04,55036242,559088,鹤壁,3,https://www.che168.com/dealer/559088/55036242.html,海豹 2022款 650km 四驱性能版,¥14.53,3.66万公里,2023年04月,自动 / 0L,新乡,2023年04月,3.66万公里,,,,2025-06-10,2027-04,2026-04,-,1次（以车辆登记证为准）,,,中型车,银/灰色,,双电机四驱,,,,,,,,,,,,
五菱缤果 2023款 203km 轻享款,3.97,0.46,2024/05,53523531,559088,鹤壁,3,https://www.che168.com/dealer/559088/53523531.html,五菱缤果 2023款 203km 轻享款,¥3.97,0.46万公里,2024年05月,自动 / 0L,新乡,2024年05月,0.46万公里,,,,2025-04-10,2025-05,2025-05,-,0次（以车辆登记证为准）,,,小型车,白色,,前置前驱,,,,,,,,,,,,
Model 3 2021款 标准续航后驱升级版,13.34,2.43,2021/01,54644141,559088,鹤壁,3,https://www.che168.com/dealer/559088/54644141.html,Model 3 2021款 标准续航后驱升级版,¥13.34,2.43万公里,2021年01月,自动 / 0L,新乡,2021年01月,2.43万公里,,,,2025-05-05,2027-01,2026-01,-,1次（以车辆登记证为准）,,,中型车,黑色,,后置后驱,,,,,,,,,,,,
哪吒U 2021款 Pro 400 巡航版,6.22,4.48,2021/12,53961893,559088,鹤壁,3,https://www.che168.com/dealer/559088/53961893.html,哪吒U 2021款 Pro 400 巡航版,¥6.22,4.48万公里,2021年12月,自动 / 0L,安阳,2021年12月,4.48万公里,,,,2025-03-13,2025-03,2025-03,-,0次（以车辆登记证为准）,,,紧凑型SUV,白色,,前置前驱,,,,,,,,,,,,
宏光MINIEV 2025款 四门版 进阶款,3.79,0.02,2025/03,53920925,559088,鹤壁,3,https://www.che168.com/dealer/559088/53920925.html,宏光MINIEV 2025款 四门版 进阶款,¥3.79,0.02万公里,2025年03月,自动 / 0L,濮阳,2025年03月,0.02万公里,,,,2025-04-04,2027-03,2026-03,-,0次（以车辆登记证为准）,,,微型车,白色,,后置后驱,,,,,,,,,,,,
帕萨特 2015款 1.8TSI DSG尊荣版,6.73,11.61,2016/03,53802840,559088,鹤壁,3,https://www.che168.com/dealer/559088/53802840.html,帕萨特 2015款 1.8TSI DSG尊荣版,¥6.73,11.61万公里,2016年03月,自动 / 1.8L,鹤壁,2016年03月,11.61万公里,,国IV(国V),,2025-03-06,2025-03,2025-03,-,2次（以车辆登记证为准）,,,中型车,黑色,95号,前置前驱,,,,,,,,,,,,
昊铂GT 2024款 全球款 710特高压激光雷达版,14.98,0.01,2024/11,54633896,559088,鹤壁,3,https://www.che168.com/dealer/559088/54633896.html,昊铂GT 2024款 全球款 710特高压激光雷达版,¥14.98,0.01万公里,2024年11月,自动 / 0L,新乡,2024年11月,0.01万公里,,,,2025-06-13,2026-11,2025-11,-,0次（以车辆登记证为准）,,,中大型车,白色,,后置后驱,,,,,,,,,,,,
宝骏E100 2019款 250KM 智行版,1.98,2.4,2020/04,54315985,559088,鹤壁,3,https://www.che168.com/dealer/559088/54315985.html,宝骏E100 2019款 250KM 智行版,¥1.98,2.4万公里,2020年04月,自动 / 0L,新乡,2020年04月,2.4万公里,,,,2025-04-11,2026-04,2025-04,-,0次（以车辆登记证为准）,,,微型车,白色,,前置前驱,,,,,,,,,,,,
宏光MINIEV 2021款 马卡龙时尚款 磷酸铁锂,1.9,3.1,2022/03,54067556,559088,鹤壁,3,https://www.che168.com/dealer/559088/54067556.html,宏光MINIEV 2021款 马卡龙时尚款 磷酸铁锂,¥1.90,3.1万公里,2022年03月,自动 / 0L,新乡,2022年03月,3.1万公里,,,,2025-04-05,2026-03,2025-03,-,1次（以车辆登记证为准）,,,微型车,绿色,,后置后驱,,,,,,,,,,,,
宏光MINIEV 2020款 悦享款 磷酸铁锂,2.01,2.89,2022/01,53519631,559088,鹤壁,3,https://www.che168.com/dealer/559088/53519631.html,宏光MINIEV 2020款 悦享款 磷酸铁锂,¥2.01,2.89万公里,2022年01月,自动 / 0L,新乡,2022年01月,2.89万公里,,,,2025-04-16,2028-01,2026-01,-,0次（以车辆登记证为准）,,,微型车,蓝色,,后置后驱,,,,,,,,,,,,
风光MINIEV 2022款 实尚款 豪华型,1.98,1.39,2023/07,54101912,559088,鹤壁,3,https://www.che168.com/dealer/559088/54101912.html,风光MINIEV 2022款 实尚款 豪华型,¥1.98,1.39万公里,2023年07月,自动 / 0L,安阳,2023年07月,1.39万公里,,,,2025-06-07,2025-07,2025-07,-,0次（以车辆登记证为准）,,,微型车,蓝色,,后置后驱,这款东风风光MINIEV拥有纯电动驱动，续航里程长达180公里，慢充时间仅需6.5小时，百公里耗电量仅为8.5度，23年上牌仅行驶1.3万公里，节能环保。全液晶仪表盘、倒车影像、定速巡航等配置提升驾驶体验，内饰简约舒适，空间宽敞，品牌知名度高，保值率稳定。是一款性价比极高的微型车，适合城市通勤和短途出行。,,,,,,,,,,,
宏光MINIEV 2020款 自在款 三元锂,1.69,2.85,2020/09,55064493,559088,鹤壁,3,https://www.che168.com/dealer/559088/55064493.html,宏光MINIEV 2020款 自在款 三元锂,¥1.69,2.85万公里,2020年09月,自动 / 0L,新乡,2020年09月,2.85万公里,,,,2025-06-12,2026-09,2025-09,-,3次（以车辆登记证为准）,,,微型车,蓝色,,后置后驱,,,,,,,,,,,,
欧拉好猫 2021款 400km标准续航 维纳斯版 三元锂,7.27,3.98,2022/02,53919973,559088,鹤壁,3,https://www.che168.com/dealer/559088/53919973.html,欧拉好猫 2021款 400km标准续航 维纳斯版 三元锂,¥7.27,3.98万公里,2022年02月,自动 / 0L,濮阳,2022年02月,3.98万公里,,,,2025-04-10,2028-02,2026-02,-,1次（以车辆登记证为准）,,,小型车,绿色,,前置前驱,,,,,,,,,,,,
欧拉黑猫 2021款 301km 基础型,3.5,4.05,2020/12,54537842,559088,鹤壁,3,https://www.che168.com/dealer/559088/54537842.html,欧拉黑猫 2021款 301km 基础型,¥3.50,4.05万公里,2020年12月,自动 / 0L,新乡,2020年12月,4.05万公里,,,,2025-04-24,2026-12,2025-12,-,1次（以车辆登记证为准）,,,微型车,蓝色,,前置前驱,,,,,,,,,,,,
欧拉好猫 2023款 401km标准续航 尊贵型 磷酸铁锂,7.45,1,2024/03,54374195,559088,鹤壁,3,https://www.che168.com/dealer/559088/54374195.html,欧拉好猫 2023款 401km标准续航 尊贵型 磷酸铁锂,¥7.45,1万公里,2024年03月,自动 / 0L,濮阳,2024年03月,1万公里,,,,2025-04-11,2028-03,2026-03,-,0次（以车辆登记证为准）,,,小型车,红/紫色,,前置前驱,,,,,,,,,,,,
长安Lumin 2022款 155km 清甜款,2.76,0.37,2024/04,54057559,559088,鹤壁,3,https://www.che168.com/dealer/559088/54057559.html,长安Lumin 2022款 155km 清甜款,¥2.76,0.37万公里,2024年04月,自动 / 0L,安阳,2024年04月,0.37万公里,,,,2025-04-01,2026-04,2025-04,-,0次（以车辆登记证为准）,,,微型车,绿色,,前置前驱,,,,,,,,,,,,
科莱威CLEVER 2022款 311km元气啵啵版,3.21,1.53,2023/09,55040836,559088,鹤壁,3,https://www.che168.com/dealer/559088/55040836.html,科莱威CLEVER 2022款 311km元气啵啵版,¥3.21,1.53万公里,2023年09月,自动 / 0L,新乡,2023年09月,1.53万公里,,,,2025-06-10,2025-09,2025-09,-,1次（以车辆登记证为准）,,,微型车,白色,,前置前驱,,,,,,,,,,,,
欧拉白猫 2020款 401km 旗舰型,4.22,7.6,2021/03,52944239,559088,鹤壁,3,https://www.che168.com/dealer/559088/52944239.html,欧拉白猫 2020款 401km 旗舰型,¥4.22,7.6万公里,2021年03月,自动 / 0L,濮阳,2021年03月,7.6万公里,,,,2025-04-10,2025-03,2025-03,-,1次（以车辆登记证为准）,,,微型车,白色,,前置前驱,,,,,,,,,,,,
海鸥 2025款 405km 飞翔版,7.5,0.23,2024/11,53685619,559088,鹤壁,3,https://www.che168.com/dealer/559088/53685619.html,海鸥 2025款 405km 飞翔版,¥7.50,0.23万公里,2024年11月,自动 / 0L,新乡,2024年11月,0.23万公里,,,,2025-04-10,2026-11,2025-11,-,0次（以车辆登记证为准）,,,小型车,白色,,前置前驱,,,,,,,,,,,,
科莱威CLEVER 2022款 311km元气啵啵版,2.55,3.37,2022/09,54563206,559088,鹤壁,3,https://www.che168.com/dealer/559088/54563206.html,科莱威CLEVER 2022款 311km元气啵啵版,¥2.55,3.37万公里,2022年09月,自动 / 0L,濮阳,2022年09月,3.37万公里,,,,2025-04-26,2026-09,2025-09,-,1次（以车辆登记证为准）,,,微型车,白色,,前置前驱,,,,,,,,,,,,
昊铂GT 2024款 全球款 710特高压激光雷达版,15.03,0.01,2024/11,54633911,559088,鹤壁,3,https://www.che168.com/dealer/559088/54633911.html,昊铂GT 2024款 全球款 710特高压激光雷达版,¥15.03,0.01万公里,2024年11月,自动 / 0L,新乡,2024年11月,0.01万公里,,,,2025-06-11,2026-11,2025-11,-,0次（以车辆登记证为准）,,,中大型车,白色,,后置后驱,,,,,,,,,,,,
